id;dataset;tool;runtime;lines_before;lines_after
student3542;z5z1;SMM;4196343;235;593
student2664;z5z1;SMM;367295;58;104
student8089;z5z1;SMM;200694;49;94
student7255;z5z1;SMM;2518965;184;479
student6363;z5z1;SMM;8130765;333;865
student8576;z5z5;SMM;9145386;214;1469
student9081;z5z5;SMM;5080619;159;531
student5170;z5z5;SMM;8552365;411;1143
student6516;z5z5;SMM;4090861;278;724
student4167;z5z5;SMM;574366;96;210
student5829;z5z1;SMM;3367913;46;464
student3485;z5z1;SMM;3858092;155;447
student6410;z5z1;SMM;3259262;333;638
student8288;z5z1;SMM;4354293;225;591
student1547;z5z1;SMM;1327600;181;341
student4261;z5z5;SMM;2387740;193;490
student2267;z5z5;SMM;11884696;394;1007
student1597;z5z5;SMM;8087939;470;951
student7888;z5z5;SMM;4057743;237;697
student8118;z5z5;SMM;9976259;367;1224
